Time - Voltage	Amplitude - Voltage
1331	-0,00917796
1332	-0,00890511
1333	-0,00866329
1334	-0,00843782
1335	-0,007897
1336	-0,00714705
1337	-0,00675982
1338	-0,00658826
1339	-0,00651147
1340	-0,00669283
1341	-0,007
1342	-0,00707353
1343	-0,00696079
1344	-0,00722875
1345	-0,00775812
1346	-0,00813065
1347	-0,00815189
1348	-0,00824502
1349	-0,00840677
1350	-0,00857506
1351	-0,00864205
1352	-0,00881851
1353	-0,00923678
1354	-0,00928743
1355	-0,00961094
1356	-0,00982008
1357	-0,00977106
1358	-0,00911261
1359	-0,00855055
1360	-0,00785452
1361	-0,00734638
1362	-0,00676636
1363	-0,00561284
1364	-0,00452631
1365	-0,00387112
1366	-0,00340873
1367	-0,00310157
1368	-0,0033058
1369	-0,00288589
1370	-0,0024039
1371	-0,00246435
1372	-0,00226992
1373	-0,00153467
1374	-0,00169316
1375	-0,00109679
1376	-0,00064421
1377	-0,000457948
1378	7,31E-05
1379	0,000179265
1380	0,000166194
1381	0,000180899
1382	0,00019397
1383	0,000489702
1384	0,000238085
1385	-0,00029456
1386	-0,000546177
1387	-0,000902363
1388	-0,00115888
1389	-0,00193824
1390	-0,00233364
1391	-0,00280747
1392	-0,00316529
1393	-0,00384171
1394	-0,00419953
1395	-0,00464558
1396	-0,00516516
1397	-0,00624678
1398	-0,00735455
1399	-0,00873355
1400	-0,0094786
1401	-0,0101321
1402	-0,010722
1403	-0,0112971
1404	-0,0116876
1405	-0,0120225
1406	-0,012413
1407	-0,0124915
1408	-0,0126385
1409	-0,0130813
1410	-0,0139326
1411	-0,014805
1412	-0,015622
1413	-0,0168033
1414	-0,0180597
1415	-0,0192394
1416	-0,0204419
1417	-0,0211282
1418	-0,021834
1419	-0,0223944
1420	-0,023097
1421	-0,0232734
1422	-0,0232555
1423	-0,023115
1424	-0,0229712
1425	-0,0228078
1426	-0,0227179
1427	-0,0225415
1428	-0,0225186
1429	-0,0226656
1430	-0,023262
1431	-0,0233045
1432	-0,0234662
1433	-0,0235463
1434	-0,0238911
1435	-0,0243355
1436	-0,0248224
1437	-0,0252194
1438	-0,025868
1439	-0,0259841
1440	-0,0263321
1441	-0,0265134
1442	-0,0265722
1443	-0,0266017
1444	-0,0265151
1445	-0,0264056
1446	-0,0262504
1447	-0,0264938
1448	-0,0272144
1449	-0,0277372
1450	-0,0283646
1451	-0,028742
1452	-0,0287273
1453	-0,0289365
1454	-0,0291015
1455	-0,0292093
1456	-0,0289675
1457	-0,0291881
1458	-0,0292436
1459	-0,0295165
1460	-0,0295851
1461	-0,0297175
1462	-0,0304151
1463	-0,0308154
1464	-0,0315066
1465	-0,0319412
1466	-0,0322173
1467	-0,0323562
1468	-0,0322827
1469	-0,0322565
1470	-0,031866
1471	-0,0317451
1472	-0,0318595
1473	-0,031518
1474	-0,0315098
1475	-0,0317124
1476	-0,0321046
1477	-0,0318578
1478	-0,03225
1479	-0,0328986
1480	-0,0331519
1481	-0,0334068
1482	-0,0336584
1483	-0,0345913
1484	-0,0351387
1485	-0,0355373
1486	-0,0357939
1487	-0,0355357
1488	-0,0354834
1489	-0,0354491
1490	-0,0350521
1491	-0,0345178
1492	-0,0342221
1493	-0,0340881
1494	-0,0334492
1495	-0,0331682
1496	-0,0327679
1497	-0,0322876
1498	-0,0324591
1499	-0,0323856
1500	-0,0320817
1501	-0,0317026
1502	-0,0313007
1503	-0,0311079
1504	-0,0308285
1505	-0,029876
1506	-0,0291619
1507	-0,0287192
1508	-0,0281702
1509	-0,0276375
1510	-0,0272356
1511	-0,0263288
1512	-0,02602
1513	-0,0256507
1514	-0,025538
1515	-0,02577
1516	-0,0257929
1517	-0,0259906
1518	-0,0263974
1519	-0,0270624
1520	-0,0283352
1521	-0,0289446
1522	-0,0293008
1523	-0,0292829
1524	-0,0294985
1525	-0,0295524
1526	-0,0294773
1527	-0,0291293
1528	-0,0286881
1529	-0,0283695
1530	-0,0279512
1531	-0,028064
1532	-0,0281195
1533	-0,0290133
1534	-0,0296145
1535	-0,0305083
1536	-0,0316275
1537	-0,0330097
1538	-0,0338463
1539	-0,0342498
1540	-0,0345913
1541	-0,0345946
1542	-0,0343185
1543	-0,0342858
1544	-0,0338218
1545	-0,0335963
1546	-0,0333741
1547	-0,0331306
1548	-0,0333022
1549	-0,0331944
1550	-0,0332614
1551	-0,0332842
1552	-0,033611
1553	-0,0333528
1554	-0,0331993
1555	-0,0330947
1556	-0,0333806
1557	-0,0335489
1558	-0,0340521
1559	-0,0347204
1560	-0,0354001
1561	-0,0356632
1562	-0,0363183
1563	-0,036802
1564	-0,0375029
1565	-0,0379391
1566	-0,0383117
1567	-0,0379571
1568	-0,0371353
1569	-0,036253
1570	-0,0355373
1571	-0,0344639
1572	-0,0336486
1573	-0,0331976
1574	-0,032482
1575	-0,0319591
1576	-0,0317173
1577	-0,0312125
1578	-0,0307403
1579	-0,030273
1580	-0,0299282
1581	-0,0297207
1582	-0,0292338
1583	-0,0290361
1584	-0,0285836
1585	-0,028327
1586	-0,0280052
1587	-0,0276212
1588	-0,0271768
1589	-0,026819
1590	-0,0263598
1591	-0,0258975
1592	-0,02569
1593	-0,0250576
1594	-0,0239319
1595	-0,0230382
1596	-0,0221363
1597	-0,0209386
